Country Name,Easiness of starting ecommerce
New Zealand,1
Singapore,2
Denmark,3
Hong Kong,4
"Korea, Rep.",5
Georgia,6
Norway,7
USA,8
United Kingdom,9
"Macedonia, FYR",10
United Arab Emirates,11
Sweden,12
"Taiwan, China",13
Lithuania,14
Malaysia,15
Estonia,16
Finland,17
Australia,18
Latvia,19
Mauritius,20
Iceland,21
Canada,22
EIRE,23
Germany,24
Azerbaijan,25
Austria,26
Thailand,27
Kazakhstan,28
Rwanda,29
Spain,30
Russian Federation,31
France,32
Poland,33
Portugal,34
Czech Republic,35
Netherlands,36
Belarus,37
Switzerland,38
Japan,39
Slovenia,40
Armenia,41
Slovak Republic,42
Turkey,43
Kosovo,44
Belgium,45
China,46
Moldova,47
Serbia,48
Israel,49
Montenegro,50
Italy,51
Romania,52
Hungary,53
Mexico,54
Brunei Darussalam,55
Chile,56
Cyprus,57
Croatia,58
Bulgaria,59
Morocco,60
Kenya,61
Bahrain,62
Albania,63
Puerto Rico (U.S.),64
Colombia,65
Luxembourg,66
Costa Rica,67
Peru,68
Vietnam,69
Kyrgyz Republic,70
Ukraine,71
Greece,72
Indonesia,73
Mongolia,74
Jamaica,75
Uzbekistan,76
India,77
Oman,78
Panama,79
Tunisia,80
Bhutan,81
RSA,82
Qatar,83
Malta,84
El Salvador,85
Botswana,86
Zambia,87
San Marino,88
Bosnia and Herzegovina,89
Samoa,90
Tonga,91
Saudi Arabia,92
St. Lucia,93
Vanuatu,94
Uruguay,95
Seychelles,96
Kuwait,97
Guatemala,98
Djibouti,99
Sri Lanka,100
Fiji,101
Dominican Republic,102
Dominica,103
Jordan,104
Trinidad and Tobago,105
Lesotho,106
Namibia,107
Papua New Guinea,108
Brazil,109
Nepal,110
Malawi,111
Antigua and Barbuda,112
Paraguay,113
Ghana,114
Solomon Islands,115
West Bank and Gaza,116
Eswatini,117
"Bahamas, The",118
Argentina,119
"Egypt, Arab Rep.",120
Honduras,121
Côte d'Ivoire,122
Ecuador,123
Philippines,124
Belize,125
Tajikistan,126
Uganda,127
"Iran, Islamic Rep.",128
Barbados,129
St. Vincent and the Grenadines,130
Cabo Verde,131
Nicaragua,132
Palau,133
Guyana,134
Mozambique,135
Pakistan,136
Togo,137
Cambodia,138
Maldives,139
St. Kitts and Nevis,140
Senegal,141
Lebanon,142
Niger,143
Tanzania,144
Mali,145
Nigeria,146
Grenada,147
Mauritania,148
"Gambia, The",149
Marshall Islands,150
Burkina Faso,151
Guinea,152
Benin,153
Lao PDR,154
Zimbabwe,155
Bolivia,156
Algeria,157
Kiribati,158
Ethiopia,159
"Micronesia, Fed. Sts.",160
Madagascar,161
Sudan,162
Sierra Leone,163
Comoros,164
Suriname,165
Cameroon,166
Afghanistan,167
Burundi,168
Gabon,169
São Tomé and Príncipe,170
Iraq,171
Myanmar,171
Angola,173
Liberia,174
Guinea-Bissau,175
Bangladesh,176
Equatorial Guinea,177
Timor-Leste,178
Syrian Arab Republic,179
"Congo, Rep.",180
Chad,181
Haiti,182
Central African Republic,183
"Congo, Dem. Rep.",184
South Sudan,185
Libya,186
"Yemen, Rep.",187
"Venezuela, RB",188
Eritrea,189
Somalia,190
