Country Name,Population
United Kingdom,62262000
Netherlands,16765558
EIRE,4588252
Germany,81857000
France,65350000
Australia,22823882
Switzerland,8000001
Spain,46163116
Belgium,10839905
Japan,127530000
Sweden,9540065
Norway,5050600
Portugal,10561614
Channel Islands,
Finland,5425320
Denmark,5587085
Italy,60849247
Cyprus,838897
Hong Kong,7103700
Singapore,5312400
Austria,8452835
Israel,7941900
Poland,38538447
Unspecified,
Greece,10787690
Iceland,320060
Canada,34990400
Malta,417617
United Arab Emirates,8264070
USA,314838000
Lebanon,4292000
Lithuania,3180394
European Community,504060000
Brazil,193946886
RSA,51770560
Czech Republic,10507566
Bahrain,1234571
Saudi Arabia,28376355
