Country Name,Price level
Australia,1.489748595
Austria,1.155721037
Bahrain,0.560497784
Belgium,1.156467539
Brazil,0.879408689
Canada,1.253022276
Channel Islands,
Cyprus,0.971120246
Czech Republic,0.754146013
Denmark,1.390741885
EIRE,1.155914266
Finland,1.248434616
France,1.169604303
Germany,1.096452686
Greece,0.991391939
Hong Kong,0.701643503
Iceland,1.16556529
Israel,1.102474218
Italy,1.054676387
Japan,1.346426432
Lebanon,0.556541559
Lithuania,0.628230869
Malta,0.798096596
Netherlands,1.162242155
Norway,1.620583834
Poland,0.607890936
Portugal,0.866168693
RSA,0.657467635
Saudi Arabia,0.489869705
Singapore,0.708764394
Spain,0.992734809
Sweden,1.361974741
Switzerland,1.573684528
United Arab Emirates,0.692800173
United Kingdom,1.131238271
USA,1
Unspecified,0
European Community,0
